"Oregon Liquor & Cannabis Commission Price Changes - Effective July 01, 2022"
"NOTE","ITEM CODE","NEW ITEM CODE","STATUS CODE","BOTTLE PRICE","CASE PRICE","DESCRIPTION","PRICE CHANGE"
"#","3725B","99900372575","V",17.95,$215.40,"THREE OLIVES PINK GRAPEFRU",0.00
,"3734B","99900373475","R",28.95,$173.70,"LARCENY BOURBON",4.00
"#","3789B","99900378975","D",14.95,$179.40,"SVEDKA CUCUMBER LIME VO",0.00
"*","3828I","99900382870","S",36.95,$221.70,"SCHLADERER CHERRY LIQUER",0.00
,"3828B","99900382875","D",34.95,$209.70,"SCHLADERER CHERRY LIQUER",2.00-
,"3834B","99900383475","R",43.95,$527.40,"THE GLENLIVET FOUNDERS RES",4.00
,"3846B","99900384675","T",27.95,$335.40,"EASY RIDER BOURBON",5.00
"#","3891B","99900389175","D",34.95,$209.70,"BUSHMILLS BLACK W/ICE BALL",0.00
,"3935B","99900393575","R",15.95,$191.40,"EVAN WILLIAMS PEACH",3.00
,"3944B","99900394475","R",24.95,$299.40,"WILD ROOTS VODKA",5.00
,"3982B","99900398275","R",24.95,$299.40,"JIM BEAM DOUBLE OAK",3.00
,"4001B","99900400175","T",21.95,$131.70,"BIRD DOG STRAWBERRY",2.00
,"4002B","99900400275","R",35.95,$431.40,"CIROC MANGO",6.00
"#","4167B","99900416775","D",38.95,$467.40,"IWAI WHISKY",0.00
"#","4317B","99900431775","D",22.95,$275.40,"DOUBLE MOUNTAIN HOPPED WHI",0.00
"%","4321B","99900432175","R",16.95,$203.40,"JIM BEAM VANILLA",2.00-
"#","4409E","99900440937","M",14.25,$342.00,"ROD'S WILD BLACKBERRY",0.00
,"4447B","99900444775","H",19.95,$119.70,"GOSLING'S DARK'N STORMY VA",3.00
,"4450B","99900445075","H",19.95,$119.70,"SAILOR JERRY W/2 OIL CAN",3.00
"#","4562B","99900456275","D",35.95,$215.70,"COPPER & KINGS AMER BR",0.00
,"4582H","99900458217","T",32.95,$197.70,"CASCADE POTATO VODKA",7.00
,"4597B","99900459775","R",33.95,$203.70,"THE SEXTON",3.00
,"4652B","99900465275","R",30.95,$371.40,"JAMESON CASKMATES IPA",3.00
"#","4750B","99900475075","D",168.95,"$1,013.70","COMPASS BOX NO NAME #2",2.00-
"#","4828B","99900482875","D",33.95,$407.40,"LANDY COGNAC VS",1.00-
"#","4840F","99900484005","D",2.50,$300.00,"REDNECK RIVIERA WHISKEY",1.50
"#","4840H","99900484017","D",44.95,$269.70,"REDNECK RIVIERA WHISKEY",0.00
"#","4840E","99900484037","D",13.95,$334.80,"REDNECK RIVIERA WHISKEY",6.95
,"4872B","99900487275","S",27.95,$335.40,"AMRUT OLD PORT RUM",2.50
"#","5024H","99900502417","D",13.45,$80.70,"BOLS TRIPLE SEC",0.00
